_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,crowd_ans,crowd_ans_gold,crowd_ans_gold_reason,gt,gt_conf,plot,question_n,v1,v10,v2,v3,v4,v5,v6,v7,v8,v9
2171272578,2/24/2019 22:25:52,true,4557586421,,2/24/2019 22:24:43,false,neodev,1.0,43207582,ARG,07,Flores,190.19.15.166,Fight Club,Fight Club,"",Fight Club,,"A depressed man (Edward Norton) suffering from insomnia meets a strange soap salesman named Tyler Durden (Brad Pitt) and soon finds himself living in his squalid house after his perfect apartment is destroyed. The two bored men form an underground club with strict rules and fight other men who are fed up with their mundane lives. Their perfect partnership frays when Marla (Helena Bonham Carter), a fellow support group crasher, attracts Tyler's attention.",1,Se mi lasci ti cancello,I don't know,Alla ricerca di Nemo,Kill Bill - Volume 1,Fight Club,Stelle sulla Terra,Mid90s,3 Idiots,Prisoners,Amores perros
2171272578,2/24/2019 22:27:38,true,4557589378,,2/24/2019 22:26:45,false,neodev,1.0,44351496,VEN,"","",201.208.40.89,Fight Club,Fight Club,"",Fight Club,,"A depressed man (Edward Norton) suffering from insomnia meets a strange soap salesman named Tyler Durden (Brad Pitt) and soon finds himself living in his squalid house after his perfect apartment is destroyed. The two bored men form an underground club with strict rules and fight other men who are fed up with their mundane lives. Their perfect partnership frays when Marla (Helena Bonham Carter), a fellow support group crasher, attracts Tyler's attention.",1,Se mi lasci ti cancello,I don't know,Alla ricerca di Nemo,Kill Bill - Volume 1,Fight Club,Stelle sulla Terra,Mid90s,3 Idiots,Prisoners,Amores perros
2171272578,2/24/2019 22:27:53,true,4557589932,,2/24/2019 22:26:41,false,elite,1.0,45029822,VEN,23,Maracaibo,190.39.94.69,Fight Club,Fight Club,"",Fight Club,,"A depressed man (Edward Norton) suffering from insomnia meets a strange soap salesman named Tyler Durden (Brad Pitt) and soon finds himself living in his squalid house after his perfect apartment is destroyed. The two bored men form an underground club with strict rules and fight other men who are fed up with their mundane lives. Their perfect partnership frays when Marla (Helena Bonham Carter), a fellow support group crasher, attracts Tyler's attention.",1,Se mi lasci ti cancello,I don't know,Alla ricerca di Nemo,Kill Bill - Volume 1,Fight Club,Stelle sulla Terra,Mid90s,3 Idiots,Prisoners,Amores perros
2171272578,2/24/2019 22:28:26,true,4557590974,,2/24/2019 22:28:00,false,clixsense,1.0,43262972,VEN,13,Barquisimeto,186.92.5.197,Fight Club,Fight Club,"",Fight Club,,"A depressed man (Edward Norton) suffering from insomnia meets a strange soap salesman named Tyler Durden (Brad Pitt) and soon finds himself living in his squalid house after his perfect apartment is destroyed. The two bored men form an underground club with strict rules and fight other men who are fed up with their mundane lives. Their perfect partnership frays when Marla (Helena Bonham Carter), a fellow support group crasher, attracts Tyler's attention.",1,Se mi lasci ti cancello,I don't know,Alla ricerca di Nemo,Kill Bill - Volume 1,Fight Club,Stelle sulla Terra,Mid90s,3 Idiots,Prisoners,Amores perros
2171272578,2/24/2019 22:28:38,true,4557591377,,2/24/2019 22:26:26,false,neodev,1.0,44502111,VEN,04,Turmero,186.92.157.217,Fight Club,Fight Club,"",Fight Club,,"A depressed man (Edward Norton) suffering from insomnia meets a strange soap salesman named Tyler Durden (Brad Pitt) and soon finds himself living in his squalid house after his perfect apartment is destroyed. The two bored men form an underground club with strict rules and fight other men who are fed up with their mundane lives. Their perfect partnership frays when Marla (Helena Bonham Carter), a fellow support group crasher, attracts Tyler's attention.",1,Se mi lasci ti cancello,I don't know,Alla ricerca di Nemo,Kill Bill - Volume 1,Fight Club,Stelle sulla Terra,Mid90s,3 Idiots,Prisoners,Amores perros
2171272578,2/24/2019 22:29:34,true,4557593110,,2/24/2019 22:26:08,false,clixsense,1.0,11582908,SRB,00,Belgrade,93.86.237.116,Fight Club,Fight Club,"",Fight Club,,"A depressed man (Edward Norton) suffering from insomnia meets a strange soap salesman named Tyler Durden (Brad Pitt) and soon finds himself living in his squalid house after his perfect apartment is destroyed. The two bored men form an underground club with strict rules and fight other men who are fed up with their mundane lives. Their perfect partnership frays when Marla (Helena Bonham Carter), a fellow support group crasher, attracts Tyler's attention.",1,Se mi lasci ti cancello,I don't know,Alla ricerca di Nemo,Kill Bill - Volume 1,Fight Club,Stelle sulla Terra,Mid90s,3 Idiots,Prisoners,Amores perros
2171272578,2/24/2019 22:30:14,true,4557594116,,2/24/2019 22:28:18,false,clixsense,1.0,45040582,TUR,16,Bursa,95.10.26.28,Fight Club,Fight Club,"",Fight Club,,"A depressed man (Edward Norton) suffering from insomnia meets a strange soap salesman named Tyler Durden (Brad Pitt) and soon finds himself living in his squalid house after his perfect apartment is destroyed. The two bored men form an underground club with strict rules and fight other men who are fed up with their mundane lives. Their perfect partnership frays when Marla (Helena Bonham Carter), a fellow support group crasher, attracts Tyler's attention.",1,Se mi lasci ti cancello,I don't know,Alla ricerca di Nemo,Kill Bill - Volume 1,Fight Club,Stelle sulla Terra,Mid90s,3 Idiots,Prisoners,Amores perros
2171272578,2/24/2019 22:30:19,true,4557594220,,2/24/2019 22:26:38,false,neodev,1.0,41202032,VEN,"","",186.93.114.53,Fight Club,Fight Club,"",Fight Club,,"A depressed man (Edward Norton) suffering from insomnia meets a strange soap salesman named Tyler Durden (Brad Pitt) and soon finds himself living in his squalid house after his perfect apartment is destroyed. The two bored men form an underground club with strict rules and fight other men who are fed up with their mundane lives. Their perfect partnership frays when Marla (Helena Bonham Carter), a fellow support group crasher, attracts Tyler's attention.",1,Se mi lasci ti cancello,I don't know,Alla ricerca di Nemo,Kill Bill - Volume 1,Fight Club,Stelle sulla Terra,Mid90s,3 Idiots,Prisoners,Amores perros
2171272578,2/24/2019 22:30:30,true,4557594622,,2/24/2019 22:29:50,false,keeprewarding,1.0,44038269,CRI,04,Heredia,190.113.110.75,Fight Club,Fight Club,"",Fight Club,,"A depressed man (Edward Norton) suffering from insomnia meets a strange soap salesman named Tyler Durden (Brad Pitt) and soon finds himself living in his squalid house after his perfect apartment is destroyed. The two bored men form an underground club with strict rules and fight other men who are fed up with their mundane lives. Their perfect partnership frays when Marla (Helena Bonham Carter), a fellow support group crasher, attracts Tyler's attention.",1,Se mi lasci ti cancello,I don't know,Alla ricerca di Nemo,Kill Bill - Volume 1,Fight Club,Stelle sulla Terra,Mid90s,3 Idiots,Prisoners,Amores perros
2171272578,2/24/2019 22:30:54,true,4557595226,,2/24/2019 22:29:14,false,neodev,1.0,44393659,VEN,23,Ambrosio,200.8.148.48,Fight Club,Fight Club,"",Fight Club,,"A depressed man (Edward Norton) suffering from insomnia meets a strange soap salesman named Tyler Durden (Brad Pitt) and soon finds himself living in his squalid house after his perfect apartment is destroyed. The two bored men form an underground club with strict rules and fight other men who are fed up with their mundane lives. Their perfect partnership frays when Marla (Helena Bonham Carter), a fellow support group crasher, attracts Tyler's attention.",1,Se mi lasci ti cancello,I don't know,Alla ricerca di Nemo,Kill Bill - Volume 1,Fight Club,Stelle sulla Terra,Mid90s,3 Idiots,Prisoners,Amores perros
