_unit_id;_created_at;_golden;_id;_missed;_started_at;_tainted;_channel;_trust;_worker_id;_country;_region;_city;_ip;crowd_ans;gt;gt_conf;in_out_radio_gold;pic_url;question_n;v1;v2;v3;v4;v5
2310994244;5/28/2019 20:48:01;false;4844416161;;5/28/2019 20:47:37;false;clixsense;1.0;45239440;VNM;74;Bac Ninh;171.240.11.223;Artichokes;Artichokes;Cardoons;;https://i.imgur.com/epwpAhA.jpg;1;Avocado;Artichokes;Beetroot;Cardoons;Fig
2310994244;5/28/2019 20:48:24;false;4844416948;;5/28/2019 20:47:51;false;feca;1.0;45169521;SRB;0;Belgrade;109.92.78.201;Artichokes;Artichokes;Cardoons;;https://i.imgur.com/epwpAhA.jpg;1;Avocado;Artichokes;Beetroot;Cardoons;Fig
2310994244;5/28/2019 20:48:36;false;4844417456;;5/28/2019 20:47:05;false;feca;1.0;45163577;VEN;25;Caracas;186.167.245.71;Artichokes;Artichokes;Cardoons;;https://i.imgur.com/epwpAhA.jpg;1;Avocado;Artichokes;Beetroot;Cardoons;Fig
2310994244;5/28/2019 20:48:43;false;4844417662;;5/28/2019 20:48:22;false;clixsense;1.0;16826096;SWE;26;Enskede;84.217.69.55;Artichokes;Artichokes;Cardoons;;https://i.imgur.com/epwpAhA.jpg;1;Avocado;Artichokes;Beetroot;Cardoons;Fig
2310994244;5/28/2019 20:49:25;false;4844419491;;5/28/2019 20:47:14;false;feca;1.0;45157221;VEN;25;Caracas;190.202.237.250;Artichokes;Artichokes;Cardoons;;https://i.imgur.com/epwpAhA.jpg;1;Avocado;Artichokes;Beetroot;Cardoons;Fig
2310994244;5/28/2019 20:49:37;false;4844420035;;5/28/2019 20:48:20;false;feca;1.0;45252314;VEN;;;186.89.243.207;Artichokes;Artichokes;Cardoons;;https://i.imgur.com/epwpAhA.jpg;1;Avocado;Artichokes;Beetroot;Cardoons;Fig
2310994244;5/28/2019 20:50:42;false;4844423494;;5/28/2019 20:48:23;false;clixsense;1.0;43845621;IND;34;Patna;103.88.56.153;Artichokes;Artichokes;Cardoons;;https://i.imgur.com/epwpAhA.jpg;1;Avocado;Artichokes;Beetroot;Cardoons;Fig
2310994244;5/28/2019 20:51:05;false;4844425159;;5/28/2019 20:48:16;false;clixsense;1.0;35441441;UKR;26;Zaporozhye;94.178.247.244;Artichokes;Artichokes;Cardoons;;https://i.imgur.com/epwpAhA.jpg;1;Avocado;Artichokes;Beetroot;Cardoons;Fig
2310994244;5/28/2019 20:52:15;false;4844429535;;5/28/2019 20:50:48;false;neodev;1.0;44761816;VEN;25;Caracas;200.84.104.202;Artichokes;Artichokes;Cardoons;;https://i.imgur.com/epwpAhA.jpg;1;Avocado;Artichokes;Beetroot;Cardoons;Fig
2310994244;5/28/2019 20:53:32;false;4844433277;;5/28/2019 20:48:19;false;clixsense;1.0;31783133;HRV;21;Zagreb;188.252.198.68;Artichokes;Artichokes;Cardoons;;https://i.imgur.com/epwpAhA.jpg;1;Avocado;Artichokes;Beetroot;Cardoons;Fig
2310994245;5/28/2019 20:51:43;false;4844427835;;5/28/2019 20:51:00;false;feca;1.0;45156664;VEN;25;Caracas;186.167.248.106;Prunes;Dates;Prunes;;https://i.imgur.com/j30xWpl.jpg;2;Prunes;Garlic;Dates;Fennel;Clementine
2310994245;5/28/2019 20:51:45;false;4844427909;;5/28/2019 20:51:10;false;feca;1.0;45239387;VNM;74;Bac Ninh;171.240.11.223;Prunes;Dates;Prunes;;https://i.imgur.com/j30xWpl.jpg;2;Prunes;Garlic;Dates;Fennel;Clementine
2310994245;5/28/2019 20:52:27;false;4844430335;;5/28/2019 20:51:10;false;neodev;1.0;44171509;VEN;20;San Cristóbal;190.36.175.80;Dates;Dates;Prunes;;https://i.imgur.com/j30xWpl.jpg;2;Prunes;Garlic;Dates;Fennel;Clementine
2310994245;5/28/2019 20:52:39;false;4844430842;;5/28/2019 20:51:16;false;clixsense;1.0;39492761;POL;74;Lodz;31.183.192.217;Dates;Dates;Prunes;;https://i.imgur.com/j30xWpl.jpg;2;Prunes;Garlic;Dates;Fennel;Clementine
