_unit_id;_created_at;_golden;_id;_missed;_started_at;_tainted;_channel;_trust;_worker_id;_country;_region;_city;_ip;crowd_ans;gt;gt_conf;pic_url;question_n;v1;v2;v3;v4;v5
2169289394;2/22/2019 16:36:50;false;4550468511;;2/22/2019 16:35:33;false;clixsense;1;45117851;VEN;25;Caracas;201.210.138.62;Artichokes;Artichokes;Cardoons;https://i.imgur.com/cK2bM8r.jpg;1;Avocado;Artichokes;Beetroot;Cardoons;Fig
2169289394;2/22/2019 16:36:54;false;4550468693;;2/22/2019 16:35:39;false;clixsense;1;43721092;VEN;18;Acarigua;190.207.218.43;Artichokes;Artichokes;Cardoons;https://i.imgur.com/cK2bM8r.jpg;1;Avocado;Artichokes;Beetroot;Cardoons;Fig
2169289394;2/22/2019 16:37:59;false;4550472019;;2/22/2019 16:35:28;false;elite;1;34657494;VNM;44;Hanoi;42.112.237.86;Avocado;Artichokes;Cardoons;https://i.imgur.com/cK2bM8r.jpg;1;Avocado;Artichokes;Beetroot;Cardoons;Fig
2169289394;2/22/2019 16:38:15;false;4550473120;;2/22/2019 16:35:35;false;elite;1;43863415;SRB;0;Belgrade;178.148.144.221;Artichokes;Artichokes;Cardoons;https://i.imgur.com/cK2bM8r.jpg;1;Avocado;Artichokes;Beetroot;Cardoons;Fig
2169289394;2/22/2019 16:38:27;false;4550473625;;2/22/2019 16:35:27;false;elite;1;44920655;EGY;;;197.166.86.64;Artichokes;Artichokes;Cardoons;https://i.imgur.com/cK2bM8r.jpg;1;Avocado;Artichokes;Beetroot;Cardoons;Fig
2169289394;2/22/2019 16:40:59;false;4550483525;;2/22/2019 16:35:30;false;elite;1;30850691;VNM;44;Hanoi;14.177.135.55;Artichokes;Artichokes;Cardoons;https://i.imgur.com/cK2bM8r.jpg;1;Avocado;Artichokes;Beetroot;Cardoons;Fig
2169289394;2/22/2019 17:07:09;false;4550587477;;2/22/2019 17:05:46;false;neodev;1;33942357;VEN;25;Caracas;200.82.187.173;Artichokes;Artichokes;Cardoons;https://i.imgur.com/cK2bM8r.jpg;1;Avocado;Artichokes;Beetroot;Cardoons;Fig
2169289394;2/22/2019 17:09:09;false;4550597731;;2/22/2019 17:06:00;false;neodev;1;44495127;VEN;;;190.79.159.23;Artichokes;Artichokes;Cardoons;https://i.imgur.com/cK2bM8r.jpg;1;Avocado;Artichokes;Beetroot;Cardoons;Fig
2169289394;2/22/2019 17:36:53;false;4550757939;;2/22/2019 17:35:19;false;clixsense;1;43726491;UKR;9;Khmelnitskiy;94.230.197.94;Artichokes;Artichokes;Cardoons;https://i.imgur.com/cK2bM8r.jpg;1;Avocado;Artichokes;Beetroot;Cardoons;Fig
2169289394;2/22/2019 17:38:47;false;4550769097;;2/22/2019 17:36:10;false;neodev;1;33658963;UKR;4;Dnepropetrovsk;91.243.198.251;Artichokes;Artichokes;Cardoons;https://i.imgur.com/cK2bM8r.jpg;1;Avocado;Artichokes;Beetroot;Cardoons;Fig
