question_n,pic_url,gt,gt_conf,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
1,https://i.imgur.com/MouIcki.jpg,Belgium,Germany,Germany,Micronesia,Kuwait,Ghana,Albania,United arab emirates,Western sahara,Rwanda,Belgium,St vincent/grenadines
2,https://i.imgur.com/LMBwVWM.jpg,Costa rica,Thailand,Mauritania,Lesotho,Costa rica,Sri lanka,Benin,Thailand,Cote d`ivoire,Israel,Laos,Nicaragua
3,https://i.imgur.com/dF9dbxV.jpg,Denmark,Switzerland,Bulgaria,Switzerland,Botswana,Congo,Denmark,Guinea-bissau,Angola,United kingdom,St vincent/grenadines,Syrian arab republic
4,https://i.imgur.com/M5b6dLD.jpg,Haiti,Liechtenstein,Cocos islands,Afghanistan,Liechtenstein,Cuba,Turkey,Haiti,Colombia,Papua new guinea,Cambodia,Micronesia
5,https://i.imgur.com/wr700Q1.jpg,Hungary,Italy,Jordan,Costa rica,Yugoslavia,Hungary,Algeria,Italy,Eritrea,Estonia,Tunisia,Central african rep
6,https://i.imgur.com/7Ajcuai.jpg,Indonesia,Monaco,Swaziland,Bolivia,Indonesia,South africa,Honduras,Turkey,Virgin islands (british),Venezuela,Monaco,Netherlands antilles
7,https://i.imgur.com/jk9WUp0.jpg,Ireland,Ivory coast,Ivory coast,Uganda,Zaire,American samoa,Honduras,Belarus,Kuwait,Luxembourg,Ireland,Morocco
8,https://i.imgur.com/r5R7ipF.jpg,Moldova,Romania,Sierra leone,Germany,New caledonia,Falkland islands (malvinas),Romania,Marshall islands,Moldova,United kingdom,Australia,Palau
9,https://i.imgur.com/s7xtjSY.jpg,New zealand,Australia,New zealand,Fiji,Cyprus,Australia,Saint lucia,Syrian arab republic,Christmas island,Grenada,Lithuania,Mexico
10,https://i.imgur.com/ArkV6mr.jpg,Norway,Iceland,Iceland,Cape verde,Benin,Norway,Colombia,United states,Namibia,Australia,Slovakia,Italy
11,https://i.imgur.com/Q4UZAB1.jpg,Paraguay,Croatia,Croatia,Paraguay,Tunisia,Palau,United states,Tonga,East timor,Italy,Brunei darussalam,Bulgaria
12,https://i.imgur.com/ftGBfn4.jpg,Senegal,Mali,Italy,Nepal,Virgin islands (u.s.),Philippines,Senegal,Tanzania,Cayman islands,Finland,Nauru,Mali
13,https://i.imgur.com/thULi8F.jpg,Slovenia,Russia,Slovenia,Israel,United states,Sierra leone,Faroe islands,Algeria,Mauritius,Turkmenistan,Russia,French polynesia
14,https://i.imgur.com/LjQ9muz.jpg,Azerbaijan,,Korea (south),Albania,Dominican republic,Pitcairn,Virgin islands (british),South africa,Luxembourg,Trinidad and tobago,Mongolia,Azerbaijan
15,https://i.imgur.com/rFYw0DY.jpg,Malta,,Djibouti,Kuwait,Marshall islands,Puerto rico,Tanzania,Honduras,Mongolia,Faroe islands,Malta,Macau
16,https://i.imgur.com/iN0i44a.jpg,Latvia,,Kenya,Bosnia and herzegowina,Macau,Latvia,Germany,Djibouti,Gambia,Mauritania,Montserrat,Haiti
17,https://i.imgur.com/4PHpNxm.jpg,Mexico,,Ireland,Burundi,Portugal,Chad,Lesotho,Brunei darussalam,Liechtenstein,Mexico,St.pierre,Ecuador
18,https://i.imgur.com/eu5hrEA.jpg,Brazil,,Bahrain,Finland,Somalia,Brazil,Kazakhstan,Falkland islands (malvinas),Benin,Mongolia,Portugal,Philippines
19,https://i.imgur.com/vI6nyU4.jpg,Kazakhstan,,Norfolk island,Ghana,Kazakhstan,Bulgaria,Malawi,Bolivia,Latvia,Sri lanka,Anguilla,Jordan
20,https://i.imgur.com/Sulu43O.jpg,Usa,,Virgin islands (u.s.),Mali,Christmas island,New caledonia,Czech republic,Djibouti,Venezuela,Usa,Mexico,Mauritius
21,https://i.imgur.com/3sfKzsV.jpg,Greenland,,Seychelles,Norway,Greenland,Hungary,Philippines,Peru,Virgin islands (british),Swaziland,Gibraltar,New zealand
22,https://i.imgur.com/p5MHLLD.jpg,Israel,,Bahamas,Gabon,Sudan,Jordan,Maldives,Tunisia,Samoa,Central african rep,Slovenia,Israel
23,https://i.imgur.com/u6HOsrR.jpg,Aruba,,Hong kong,Philippines,Singapore,Aruba,Estonia,Greece,Sri lanka,Reunion,Guatemala,Namibia
24,https://i.imgur.com/5ahq6rx.jpg,Guatemala,,East timor,Suriname,Afghanistan,Bouvet island,Saint lucia,Guatemala,Belarus,Cuba,Aruba,Togo
25,https://i.imgur.com/zXZLP74.jpg,Egypt,,Pitcairn,Yemen,Egypt,Andorra,Philippines,Mali,Lithuania,Burundi,Hong kong,Tokelau
26,https://i.imgur.com/W7O1vJr.jpg,Bolivia,,Micronesia,Gibraltar,Bolivia,Mozambique,Comoros,South africa,Tajikistan,Armenia,Suriname,Yemen
27,https://i.imgur.com/4iYo2vK.jpg,Nigeria,,Iran,Chile,Nigeria,Greece,Vanuatu,Hong kong,Egypt,Spain,Tanzania,Cote d`ivoire
28,https://i.imgur.com/1CTWcGF.jpg,Colombia,,Finland,Trinidad and tobago,Portugal,Benin,Anguilla,Taiwan,Colombia,Tunisia,Niue,Bouvet island
29,https://i.imgur.com/bn4WCn9.jpg,Korea,,Reunion,Virgin islands (u.s.),Singapore,Jordan,Mozambique,Yemen,Korea,Monaco,Cuba,Tokelau
30,https://i.imgur.com/yFIWXcV.jpg,Armenia,,Qatar,Lithuania,France,Armenia,Niue,French polynesia,Liechtenstein,Martinique,Sweden,San marino
