question_n,plot,gt,gt_conf,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
1,"Camille's life as a lonely suburban teenager changes dramatically when she befriends a group of girl skateboarders. As she journeys deeper into this raw New York City subculture, she begins to understand the true meaning of friendship as well as her inner self.Camille's life as a lonely suburban teenager changes dramatically when she befriends a group of girl skateboarders. As she journeys deeper into this raw New York City subculture, she begins to understand the true meaning of friendship as well as her inner self.",Skate Kitchen,Mid90s,Se mi lasci ti cancello,Alla ricerca di Nemo,Kill Bill - Volume 1,Skate Kitchen,Stelle sulla Terra,Mid90s,3 Idiots,Prisoners,Amores perros,I don't know
2,"Teenager Nicolas Sheff seems to have it all with good grades and being an actor, artist, athlete and editor of the school newspaper. When Nic's addiction to meth threatens to destroy him, his father does whatever he can to save his son and family.",Beautiful Boy,Ben is Back,Barry Lyndon,Beautiful Boy,Taxi Driver,Intrigo internazionale,Inception,Il mago di Oz,I sette samurai,Ben is Back,Il Signore degli Anelli - La compagnia dell'Anello,I don't know
3,"Recently divorced and reeling, Edgar returns to his childhood home to regroup his life. When Edgar finds a nefarious looking puppet in his deceased brother's room, he decides to sell the doll for some quick cash. Girl-next-door Ashley and and comic book pal Markowitz join Edgar for a doomed road trip to an auction at a convention celebrating the 30th Anniversary of the infamous Toulon Murders. All hell breaks loose when a strange force animates the puppets at the convention, setting them on a bloody killing spree that's motivated by an evil as old as time.",Puppet Master: The Littlest Reich,The Happytime Murders,Puppet Master: The Littlest Reich,Harry Potter e i Doni della Morte - Parte 2,Warrior,Fargo,The Happytime Murders,Tre colori - Film rosso,The Sixth Sense - Il sesto senso,Batman Begins,Il ponte sul fiume Kwai,I don't know
4,"Yetis live in on the top of a mountain in the Himalayas, Nepal, above the clouds and hidden away from sight. Migo is a yeti who abides by the law of the ancient stones held by the Stonekeeper, the yetis' leader. Migo's father, Dorgle, projects himself through the air each morning to hit a gong with his head, believing this allows the sun to rise. While learning how to ring the gong, Migo is distracted by the Stonekeeper's daughter, Meechee, whom he loves, and misses the gong, landing outside the village. There, Migo witnesses a plane crash and finds a ""smallfoot"" (human), whom the yetis have taken for legend. Migo runs back to tell the villagers what he saw, but has no proof. The Stonekeeper banishes him from the village. Migo is suddenly visited by Gwangi, Kolka, and Fleem who bring him to the Smallfoot Evidentiary Society (S.E.S.), which is led by Meechee. She convinces Migo to be lowered below the clouds despite the stones telling them that there is nothing underneath. After some hesitation, Migo agrees to go, but his rope snaps and Migo falls, where he discovers land..",Smallfoot,Abominable,Abominable,Aurora,La vita è bella,La passione di Giovanna d'Arco,A qualcuno piace caldo,Bastardi senza gloria,I 400 colpi,Barry Lyndon,Smallfoot,I don't know
5,"Grey Trace, a stay-at-home mechanic, lives with his wife Asha who works for Cobolt, one of the companies contributing to an increase in human-computer augmentations in a near-future world. One day, Grey asks Asha to help him return a refurbished car to his client Eron Keen, a famous tech innovator in charge of a rival company called Vessel. While visiting his home, Eron reveals his latest creation, an AI chip called STEM that can serve as an auxiliary brain. On their way home, Grey and Asha's self-driving car malfunctions and crashes at a homeless camp. Four unknown men then arrive, shooting Asha in the chest and Grey in the neck, severing his spinal cord. Grey watches helplessly as Asha bleeds to death next to him. Grey returns home months later as a wheelchair-bound quadriplegic, now under the care of his mother Pamela. Asha's death and the inability of Det. Cortez, who had been assigned to her case, to identify their attackers has caused Grey to sink into an intense depression. After a suicide attempt by overdosing on medication, he is visited by Eron, who offers to surgically implant STEM into Grey's spine and restore motor functions to his body. Though Grey is initially resistant, Eron successfully persuades him to undergo the surgery.",Upgrade,Venom,Toy Story 3 - La grande fuga,L'odio,Upgrade,Venom,U-Boot 96,Il cacciatore,Guerre stellari,Lo squalo,Le ali della libertà,I don't know
6,"Through a series of twenty six short stories, a girl describes the childhood events that shaped her ideas about fatherhood, family relations, work and play. As the stories unfold, a dual portrait emerges: that of a father who cared more for his career than for his family, and of a daughter who was deeply affected by his behavior. Working in counterpoint to the forceful text are sensual black and white images that depict both the extraordinary and ordinary events of daily life. Together, they create a formally complex and emotionally intense film.",Sink or Swim,Swimming with Men,Il cacciatore,Sink or Swim,Swimming with Men,Prova a prendermi,C'era una volta in America,Inside Out,Grand Budapest Hotel,La città incantata,La battaglia di Hacksaw Ridge,I don't know
7,"A young coming-of-age tale about a teenage boy, Simon Spier, goes through a different kind of Romeo and Juliet story. Simon has a love connection with a boy, Blue, by email, but the only problem is that Simon has no idea who he's talking to. Simon must discover who that boy is--who Blue is. Along the way, he tries to find himself as well.","Love, Simon",Alex Strangelove,L'attimo fuggente,Alex Strangelove,Intrigo internazionale,Full Metal Jacket,Aurora,"Love, Simon",Bohemian Rhapsody,The Elephant Man,V per Vendetta,I don't know
8,"1968: An inexperienced sailor enters a round the world race which he fears he won't be able to complete yet alone win. In order to save his dignity, he decides to cheat to come last but things don't go according to plan.",Crowhurst,The Mercy,Terminator 2 - Il giorno del giudizio,La battaglia di Hacksaw Ridge,Memories of Murder,City of God,The Mercy,Pulp Fiction,Crowhurst,Monty Python e il Sacro Graal,Terminator,I don't know
9,"After ten long years, grown-up best friends since college, Jess, Alice, Frankie and Blair reunite, as Jess who is running for state senator, is about to walk the aisle with her fiancé, Peter. Without delay and with the help of Jess' BFF, Alice, everything is ready for a fabulous once-in-a-lifetime bachelorette weekend in sun-drenched Miami to relive those glorious college days of the past, starting off from the city's trendy nightclubs along with a new free-spirited Aussie friend, Pippa. Under those circumstances and as the night is still young, the girls will order a male stripper from Craigslist for the soon-to-be bride, unfortunately, however, in the heat of the moment, they will accidentally kill him. Now, things are bound to take a turn for the worse, nevertheless, there is no case, if there is no body.",Rough Night,Girls Trip,Per qualche dollaro in più,Interstellar,Up,Rough Night,Girls Trip,Alien,A Beautiful Mind,Dangal,Will Hunting - Genio ribelle,I don't know
10,"During World War II, as Adolf Hitler's awesomely powerful Wehrmacht rampages across Europe, the Prime Minister of the United Kingdom, Neville Chamberlain, is forced to resign, recommending Winston Churchill as his replacement. But even in his early days as the country's leader, Churchill is under pressure to commence peace negotiations with the German dictator or to fight head-on the seemingly invincible Nazi regime, whatever the cost. However difficult and dangerous his decision may be, Churchill has no choice but to shine in the country's darkest hour.",Darkest Hour,Dunkirk,Prima del tramonto,Trainspotting,La maledizione della prima luna,Qualcuno volò sul nido del cuculo,La vita è bella,Il pianista,Dunkirk,Shining,Darkest Hour,I don't know
