question_ID,gold_label
0,Belgium
1,Costa rica
2,Denmark
3,Haiti
4,Hungary
5,Indonesia
6,Ireland
7,Moldova
8,New zealand
9,Norway
10,Paraguay
11,Senegal
12,Slovenia
13,Azerbaijan
14,Malta
15,Latvia
16,Mexico
17,Brazil
18,Kazakhstan
19,Usa
20,Greenland
21,Israel
22,Aruba
23,Guatemala
24,Egypt
25,Bolivia
26,Nigeria
27,Colombia
28,Korea
29,Armenia
30,Germany
31,Thailand
32,Switzerland
33,Liechtenstein
34,Italy
35,Monaco
36,Ivory coast
37,Romania
38,Australia
39,Iceland
40,Croatia
41,Mali
42,Russia
43,Greece
44,United kingdom
45,India
46,Canada
47,Cuba
48,Turkey
49,Maldives
50,Dominica
51,Finland
52,Georgia republic
53,Catalonia
54,Japan
55,Jamaica
56,Philippines
57,France
58,Estonia
59,China
60,Costa rica
61,Denmark
62,Haiti
63,Hungary
64,Indonesia
65,Ireland
66,Moldova
67,New zealand
68,Paraguay
69,Senegal
70,Costa rica
71,Denmark
72,Haiti
73,Hungary
74,Indonesia
75,Ireland
76,Moldova
77,New zealand
78,Paraguay
79,Senegal
80,Thailand
81,Switzerland
82,Liechtenstein
83,Italy
84,Monaco
85,Ivory coast
86,Romania
87,Australia
88,Croatia
89,Mali
90,Thailand
91,Switzerland
92,Liechtenstein
93,Italy
94,Monaco
95,Ivory coast
96,Romania
97,Australia
98,Croatia
99,Mali
